20151101
67         BAS RHIN                      
LIEU-DIT   ROTEN ABWAND               
LIEU-DIT   SITTEN                     
LIEU-DIT   SOMMERBERG                 
LIEU-DIT   STEINAECKER                
LIEU-DIT   STOCKNEN                   
LIEU-DIT   THALAECKER                 
LIEU-DIT   VILLAGE                    
LIEU-DIT   WASEN                      
LIEU-DIT   WENDLINGSFELD              
LIEU-DIT   WOLSCHHEIMER BANN          
LIEU-DIT   WOLSCHHEIMERWEG            
LIEU-DIT   WUESTE REBEN               
LIEU-DIT   DIETHWEG                   
LIEU-DIT   GRUET                      
RUE        DE LA COLOMBE              
RUE        DE DETTWILLER              
IMPASSE    DE L EGLISE                
RUE        DE LA FONTAINE             
RUE        DE FRIEDOLSHEIM            
RUE        DE FURCHHAUSEN             
RUE        DU HERRENWEG               
RUE        DE LITTENHEIM              
IMPASSE    DE LA MESANGE              
RUE        DU MITTELFELD              
RUE        PRINCIPALE                 
RUE        DU STEINACKER              
RUE        DES VERGERS                
RUE        DE WOLSCHHEIM              
           commune :     ALTORF                         departement : BAS RHIN                      
LOT        SAINT CYRIAQUE             
FRM        LE JAEGERHOF               
LOT        LES TILLEULS               
LIEU-DIT   ALTE REBEN                 
LIEU-DIT   ALTER WEG                  
LIEU-DIT   AUF DIE LANDSTRASSE        
LIEU-DIT   AUF DIE OSTERLAENG         
LIEU-DIT   AUF DIE STRASSE            
LIEU-DIT   AUF GRIESHEIMER BANN       
LIEU-DIT   BANNSCHEID                 
LIEU-DIT   BIRKENWALD                 
LIEU-DIT   BLIETHGRABEN               
LIEU-DIT   BRIEGEL                    
LIEU-DIT   BRONNENPLATZ               
LIEU-DIT   BURGWEG                    
LIEU-DIT   DUTTLENHEIMER STRASSE      
LIEU-DIT   EGERTEN                    
LIEU-DIT   FLACHSEGERTEN              
LIEU-DIT   FLACHSGAERTEN              
LIEU-DIT   FORST                      
LIEU-DIT   FORSTBLUM                  
LIEU-DIT   FUCHSLOCH                  
LIEU-DIT   GAIHOELZEL                 
LIEU-DIT   HANFBACH                   
LIEU-DIT   HARDT                      
LIEU-DIT   HERRENWEG                  
LIEU-DIT   HOLZACKER                  
