20151101
24         DORDOGNE                      
LIEU-DIT   LES GOURGUES               
LIEU-DIT   GRANDE VIGNE               
LIEU-DIT   LES ISLOTS                 
LIEU-DIT   LOU TEMBOURINAYRE          
LIEU-DIT   LA PLACE                   
LIEU-DIT   LE RAISSE                  
LIEU-DIT   SANDROU                    
LIEU-DIT   TERRE DE LA FONT           
LIEU-DIT   TROU DE LOYE               
LIEU-DIT   TROU DE MALUER             
LIEU-DIT   LE BOURG                   
           commune :     ALLEMANS                       departement : DORDOGNE                      
LIEU-DIT   A                          
LIEU-DIT   L ARMALIE                  
LIEU-DIT   BELLEVUE                   
LIEU-DIT   LES BOIGES                 
LIEU-DIT   BOIREDON                   
LIEU-DIT   LE BOIS DE LA COTTE        
LIEU-DIT   LE BOIS DES COMBES         
LIEU-DIT   LE BOIS VIGNAUD ET PRE DU  
LIEU-DIT   LE BONNEVAL                
LIEU-DIT   LES BORDES NORD            
LIEU-DIT   LES BORDES SUD             
LIEU-DIT   BOSREDON                   
LIEU-DIT   LA BOUCHERIE               
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BRANDIERES             
LIEU-DIT   LES BUCHES                 
LIEU-DIT   LES BUFFADES               
LIEU-DIT   CHAUFFOUR                  
LIEU-DIT   CHAUFOUR                   
LIEU-DIT   CHEYTOU                    
LIEU-DIT   CHEZ BIDOU                 
LIEU-DIT   CHEZ BOIVIEL               
LIEU-DIT   CHEZ BURET                 
LIEU-DIT   CHEZ CHAMBRELIN            
LIEU-DIT   CHEZ LAMBRELIN             
LIEU-DIT   CHEZ MAUDY                 
LIEU-DIT   CHEZ NAUDY                 
LIEU-DIT   CHEZ RAYNAUD               
LIEU-DIT   CHEZ ROUCHOU               
LIEU-DIT   CHEZ VIGNAUD               
LIEU-DIT   LE CLAPIER ET LA LUNERIE   
LIEU-DIT   LE CLAPIER ET LUNERIE      
LIEU-DIT   LA COMBE INFERNALE         
LIEU-DIT   LES COMBES                 
LIEU-DIT   LA COTTE                   
LIEU-DIT   LA COUTENTIE ET LA PAQUIE  
LIEU-DIT   LA COUTENTIE ET LAPAQUIE   
LIEU-DIT   LA CROUZIE                 
LIEU-DIT   LE DURBET                  
LIEU-DIT   LES EPINETS                
LIEU-DIT   LA FONT DU MOULIN          
LIEU-DIT   LES FONTENELLES            
LIEU-DIT   LE GALEY                   
LIEU-DIT   LE GALEY NORD              
LIEU-DIT   LE GALEY SUD               
LIEU-DIT   LE GALEY SUD               
LIEU-DIT   LA GANNE                   
LIEU-DIT   LE GELIBERT                
LIEU-DIT   LE GELIBERT EST            
