20151101
21         COTE D OR                     
RUE        SOUS LES VIEILLES HALLES   
ALLEE      DES TILLEULS               
RUELLE     DES TISSERANDS             
RUE        DU VAU                     
RUELLE     DES VIEILLES HALLES        
           commune :     AISEREY                        departement : COTE D OR                     
LIEU-DIT   SUR LE CANAL               
LIEU-DIT   CHAMP BRULE                
LIEU-DIT   CHAMP DU MOULIN            
LIEU-DIT   CHAMP FROLANT              
LIEU-DIT   CHAMP MARTIN               
LIEU-DIT   LES CHAMPS DE BAS          
LIEU-DIT   EN CHARDENON               
LIEU-DIT   CHATEAU NEUF               
LIEU-DIT   EN CHOUAN                  
LIEU-DIT   LA COMBE                   
LIEU-DIT   LA CORVEE AUX MOINES       
LIEU-DIT   LES COURTES TERRES         
LIEU-DIT   FIN DE LA LEAU             
LIEU-DIT   LES GOROTS                 
LIEU-DIT   LES GRANDES CORVEES        
LIEU-DIT   LES GRANDES MARES          
LIEU-DIT   LES GRANDS CHAMPS VOLANTS  
LIEU-DIT   LES GRAVIERES              
LIEU-DIT   HAMEAU DE POTANGEY         
LIEU-DIT   LES HERBUOTTES             
LIEU-DIT   LA JUSTICE                 
LIEU-DIT   LIGNE DE LA RIVIERE        
LIEU-DIT   LIGNE DU CANAL             
LIEU-DIT   LIGNE DU MILIEU            
LIEU-DIT   LA LOUVIERE                
LIEU-DIT   LES MAUVAIS PRES           
LIEU-DIT   MESSIGNY                   
LIEU-DIT   LE MONT                    
LIEU-DIT   SUR LA NOUE                
LIEU-DIT   L OZEROLLE                 
LIEU-DIT   LES PATENOTES              
LIEU-DIT   LES PATIS                  
LIEU-DIT   PATIS DE LA NOIRE POTTE    
LIEU-DIT   LES PETITS PATIS           
LIEU-DIT   LA PIERRE                  
LIEU-DIT   EN POTET                   
LIEU-DIT   LE PRE MEROUX              
LIEU-DIT   LE PRE NEUF                
LIEU-DIT   SUR LE PRE PORCHER         
LIEU-DIT   LE PRE VAUX                
LIEU-DIT   LA PRIDELLE                
LIEU-DIT   LA RACLE                   
LIEU-DIT   LE SEUILLER                
LIEU-DIT   LES SOUHAITS               
LIEU-DIT   LES TERRES MERRAINS        
LIEU-DIT   LES TOPES AU LOUP          
LIEU-DIT   VILLAGE                    
RUE        ABEL THIVANT               
RUE        AUGUSTE BONNOTTE           
RUE        DES BLEUETS                
RUE        BOSSUET                    
RUE        DU CANAL                   
IMPASSE    CHAMP MOULIN               
RUE        DE LA COMBE                
IMPASSE    DU CREUX AUX CHEVAUX       
RUE        DES CYCLAMENS              
RUE        DES CYGNES                 
RUE        DES CYPRES                 
RUE        DE LA JUSTICE              
ROUTE      DE DIJON                   
RUE        DE L EGLISE                
IMPASSE    DE LA FIN D EAU            
RUE        DE LA GARE                 
PLACE      GAU BICKELHEIM             
RUE        DU GUE                     
ROUTE      D IZEURE                   
RUE        DU JURA                    
IMPASSE    DU LAVOIR                  
PLACE      DE LA MAIRIE               
RUE        MARCEL BOUCHARD            
RUE        MARTIN LEJEAS              
RUE        DES MIMOSAS                
RUE        DE MOSCAZZANO              
RUE        DES MYOSOTIS               
RUE        DE LA NOUE                 
RUE        DE L OUCHEROTTE            
RUE        DU PAQUIER                 
RUE        DES PATENOTES              
RUE        DU POTET                   
RUE        DES ROSES                  
RUE        DES SIRENES                
RUE        DES SOUHAITS               
RUE        DU STADE                   
ROUTE      DE LA SUCRERIE             
RUE        TARNIER                    
RUE        DES TOURTERELLES           
RUE        DES VERGERS                
RUE        DU VILLAGE                 
RUE        DES VIOLETTES              
           commune :     AISEY-SUR-SEINE                departement : COTE D OR                     
LIEU-DIT   SUR LES ARGILLIERES        
LIEU-DIT   LES ARGILLIERES            
LIEU-DIT   LES ARPENTS                
LIEU-DIT   LA BARQUE                  
LIEU-DIT   SUR LE BIEF DU MOULIN      
LIEU-DIT   LA BOLE                    
LIEU-DIT   BON ESPOIR                 
LIEU-DIT   LA BORDE                   
LIEU-DIT   LE BOUCHOT A LA CHEVRE     
LIEU-DIT   LE BOUCHOT A LA CLOCHETTE  
LIEU-DIT   LE BOUCHOT ROND            
LIEU-DIT   LES BOUCHOTS               
LIEU-DIT   LES BOUCHOTS DE CHAUME     
LIEU-DIT   LES CADETTES               
LIEU-DIT   AUX CARREAUX               
LIEU-DIT   SUR LA CAVE                
LIEU-DIT   AUX CHAMPS A LA PATENAILLE 
LIEU-DIT   AUX CHAMPS DE LA FORGE     
LIEU-DIT   LA CHOUETTE                
LIEU-DIT   LES CLOSIAUX               
LIEU-DIT   LA COMBE GUENIN            
LIEU-DIT   LA COTE ROCHEMART          
LIEU-DIT   LE COTEAU CHAUD            
LIEU-DIT   LE COTEAU D AVRIL          
LIEU-DIT   LE COTEAU DU MOULIN        
LIEU-DIT   LE COTEAU FROID            
LIEU-DIT   LE COTEAU MARGUERON        
LIEU-DIT   SUR LES CREUX              
LIEU-DIT   DERRIERE LA BORDE          
LIEU-DIT   DERRIERE LA FORET BIZAIN   
LIEU-DIT   DERRIERE LES RECY          
LIEU-DIT   DESSOUS QUICOGNE           
LIEU-DIT   AU DEVANT DE SAINT MARTIN  
LIEU-DIT   ES BRUERES                 
LIEU-DIT   LA FORET BIZAIN            
LIEU-DIT   EN LA GANDRE               
LIEU-DIT   LE GRAND JARDIN            
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   LE GRAND RECY              
LIEU-DIT   GROUOTTE                   
LIEU-DIT   LES HERBUES                
LIEU-DIT   LA L HOMMOTTE              
LIEU-DIT   LA LHOMME                  
LIEU-DIT   LA MALADIERE               
LIEU-DIT   LE MEIX DAMAS              
LIEU-DIT   LE PARC                    
