20151101
LIEU-DIT   SOUS VERSE COTE            
LIEU-DIT   TERRE DU PAQUIS            
LIEU-DIT   LA TETE                    
LIEU-DIT   LA TRAYE                   
LIEU-DIT   VALS EN PRES               
LIEU-DIT   SUR VARDOT                 
LIEU-DIT   SUR LA VIE DE PIERRE       
LIEU-DIT   LA VIGNE                   
LIEU-DIT   SUR LA VIGNE               
LIEU-DIT   LE VILLAGE                 
RUE        D ARGIESANS                
RUE        DE LA BARRIERE             
RUE        DU BEAU BOIS               
CHEMIN     DU BEAUBOIS                
RUE        DE DORANS                  
RUE        DU CENTRE                  
PLACE      DE L EGLISE                
RUE        DES ESSERTS                
RUE        D HERICOURT                
RUE        DES BREUILS                
RUE        DU PAQUIS                  
IMPASSE    DES PEUPLIERS              
RUE        DE LA SOURCE               
RUE        DES VERGERS                
PLACE      DU CIMETIERE               
CHEMIN     D ECHENANS                 
CHEMIN     DU FORT HAUT BOIS          
           commune :     BAVILLIERS                     departement : TERRITOIRE DE BELFORT         
LIEU-DIT   AUX ALOUETTES              
LIEU-DIT   LES BENOTTES               
LIEU-DIT   BOIS DU COLLEGE NORD       
LIEU-DIT   BOIS DU COLLEGE SUD        
LIEU-DIT   EN BOISSEAU                
LIEU-DIT   AU BREUIL                  
LIEU-DIT   BUCHET MIRCOTELS           
LIEU-DIT   AU CARRE CHARMAIL          
LIEU-DIT   LA CARRIERE                
LIEU-DIT   CHAMP CERISIER             
LIEU-DIT   CHAMP D ESSERT             
LIEU-DIT   CHAMP DU ROND              
LIEU-DIT   CHAMP FALO                 
LIEU-DIT   CHAMP SOIARD               
LIEU-DIT   CHAMP VARTEAU              
LIEU-DIT   AU CHAMPOYARD              
LIEU-DIT   CHAMPS AUX LOUPS           
LIEU-DIT   CHAMPS DE LA BELLE         
LIEU-DIT   CHAMPS GRENIER             
LIEU-DIT   CHAMPS MAHAUX              
LIEU-DIT   SUR LES CHAMPS MONTANTS    
LIEU-DIT   CHAMPS ROUGEOTS            
LIEU-DIT   SUR LE CHEMIN DE CRAVANCHE 
LIEU-DIT   CHEMIN DE CRAVANCHE        
LIEU-DIT   LES CHENES NORD            
LIEU-DIT   LES CHENES SUD             
LIEU-DIT   LES CHENEVIERES            
LIEU-DIT   CHENOIS NORD               
LIEU-DIT   CHENOIS SUD                
LIEU-DIT   LA CLAICHIERE              
LIEU-DIT   AU COMBE DE BUC            
LIEU-DIT   AU COMBE SALIN             
LIEU-DIT   AU COMBOT                  
LIEU-DIT   LES COMBOTS                
LIEU-DIT   LES COMBOTS EST            
LIEU-DIT   AU COMBOTTE                
LIEU-DIT   AU COQ GAILLARD            
LIEU-DIT   SUR LA COTE                
LIEU-DIT   LA COTE                    
LIEU-DIT   SUR LE COTE A BOIS         
