20151101
69         RHONE                         
CHEMIN     DU MOLLARD                 
RUE        DU MOULIN                  
RUE        DES MOUTONNES              
RUE        DE LA PARISIENNE           
PLACE      DE LA PASSERELLE           
RUE        DE LA PLAINE               
RUE        DES PLATANES               
RUE        DU PONT ROYAL              
PTR        PETITE RUE DU PORT         
RUE        DU PORT                    
ROUTE      DU RECRU                   
RUE        DU REVOUX                  
MTE        DE RITOLAS                 
RUE        DE RITOLAS                 
ROUTE      DE LA ROCHE                
ROUTE      DE ROZIER                  
CHEMIN     DU SOLEIL                  
IMPASSE    DU STADE                   
ROUTE      DE LA TAQUIERE             
ROUTE      DE TARTARAS                
CHEMIN     DE LA TRAILLE              
IMPASSE    DU TRIEVES                 
RUE        DU TRIEVES                 
RUE        DU VAGNOT                  
IMPASSE    DE LA VIALLIERE            
IMPASSE    DES VIGNES                 
RUE        DU VIEUX RITOLAS           
AVENUE     DE LA GARE                 
RUE        JEAN JULIEN CHAPELANT      
ALLEE      JEAN BARDET                
SQUARE     JEAN BARDET                
ROUTE      DU CHAMPIN                 
ROUTE      DU GIRAUD                  
RUE        DU JANET                   
RUE        DE LA BROSSE               
RUE        DE LA VIEILLE BROSSE       
IMPASSE    DE L'AULIN                 
ROUTE      DE BRAMARET                
ROUTE      DE CHARFFAGE               
CHEMIN     DU COMBARD                 
CHEMIN     DE COTE FERREE             
CHEMIN     DE FAYARDET                
RUE        GABRIEL VANEL              
CHEMIN     DES LABOUREURS             
IMPASSE    DE LA MINE                 
CHEMIN     DE LA ROSE                 
CHEMIN     DES SERRES VERTES          
           commune :     ANCY                           departement : RHONE                         
LIEU-DIT   ARJOUX                     
LIEU-DIT   LE BANCILLON               
LIEU-DIT   LE BAS D ARJOUX            
LIEU-DIT   LES BOIS D ARJOUX          
LIEU-DIT   LE BOIS PIVOT              
LIEU-DIT   LE BOURG                   
LIEU-DIT   BREZET                     
LIEU-DIT   LES CHAPOTIERES            
LIEU-DIT   LES CHATAIGNERAIES         
LIEU-DIT   LA COTE                    
LIEU-DIT   LE COUVENT                 
LIEU-DIT   LE CRET                    
LIEU-DIT   LE CRET D ARJOUX           
LIEU-DIT   CROIX MURIER               
LIEU-DIT   L ELITE                    
LIEU-DIT   LE GAYNON                  
LIEU-DIT   LES GOUTTES                
LIEU-DIT   LE GRAND BOIS              
LIEU-DIT   LES HUMBERTS BAS           
LIEU-DIT   LES HUMBERTS HAUTS         
LIEU-DIT   LA LIOUFFE                 
LIEU-DIT   MAILLARD NORD              
