20151101
19         CORREZE                       
LIEU-DIT   ROUSSANNE NORD             
LIEU-DIT   SAINT MARTIN               
LIEU-DIT   LA SALESSE NORD            
LIEU-DIT   AUX SALESSES               
LIEU-DIT   LA SALLESSE                
LIEU-DIT   LES SAULES                 
LIEU-DIT   LA SIREYGEADE              
LIEU-DIT   LES TAILLIS DE CHABRIER    
LIEU-DIT   TEILLOL                    
LIEU-DIT   LE TEMPLE                  
LIEU-DIT   LA TERRE DU ROI            
LIEU-DIT   LES TERRES DE LAVERGNE     
LIEU-DIT   LA VAUTE                   
LIEU-DIT   LA VERGNIERE               
LIEU-DIT   AU VERT                    
LIEU-DIT   LA VEYSSIERE               
LIEU-DIT   LES VEYSSIERES             
LIEU-DIT   LA PRADE                   
LIEU-DIT   LOTISSEMENT COMMUNAL       
PLACE      DE L EGLISE                
ROUTE      DE MALBUISSON              
           commune :     ALLASSAC                       departement : CORREZE                       
LIEU-DIT   LES ABATTOIRS              
LIEU-DIT   ABROUN                     
LIEU-DIT   AIZAC                      
LIEU-DIT   AL FRAYSSE                 
LIEU-DIT   AL PUY LAPEYRE             
LIEU-DIT   BAIS DU PEUCH              
LIEU-DIT   BARDOUX                    
LIEU-DIT   AU BARRELOU                
LIEU-DIT   LA BARRIERE                
LIEU-DIT   BAS DU BOURG               
LIEU-DIT   LE BEDASSOU                
LIEU-DIT   LES BEYSSAS                
LIEU-DIT   LA BISSIERE                
LIEU-DIT   LA BLONDINERIE             
LIEU-DIT   LE BOIS COMMUNAL           
LIEU-DIT   BOIS DAULET                
LIEU-DIT   BOIS DE LA CROIX           
LIEU-DIT   BOIS DE LAMAZE             
LIEU-DIT   LE BOIS DU ROI             
LIEU-DIT   LA BORDE                   
LIEU-DIT   LES BORDERIES              
LIEU-DIT   LE BOS DELPY               
LIEU-DIT   LE BOUCHAILLOUX            
LIEU-DIT   LE BOUISSOU                
LIEU-DIT   LE BOURG                   
LIEU-DIT   LE BOUSQUET                
LIEU-DIT   LES BRANDES                
LIEU-DIT   BROCHAT                    
LIEU-DIT   BRON                       
LIEU-DIT   LA BROUILLADE              
LIEU-DIT   LES BRUYERES               
LIEU-DIT   LE BUFFALOU                
LIEU-DIT   LA CAMELLE                 
LIEU-DIT   LES CARRIERES              
LIEU-DIT   CHAMP LA RAMADE            
LIEU-DIT   CHAMP DES FONTADELLES      
LIEU-DIT   CHAMPS                     
LIEU-DIT   CHAMPS DE GAU              
LIEU-DIT   CHAMPS DE LA COTE          
LIEU-DIT   CHAMPS DE LA FAURIE        
LIEU-DIT   CHAMPS DE LA ROCHE         
LIEU-DIT   CHAMPS DES VERDIERS        
LIEU-DIT   CHAMPS DES VERGNES         
LIEU-DIT   CHAMPS DU VERDIER BAS      
LIEU-DIT   CHAMPS DU VERDIER HAUT     
LIEU-DIT   LA CHAPELLE                
LIEU-DIT   LES CHARREAUX              
LIEU-DIT   LA CHARRIERE               
LIEU-DIT   LA CHARTROULLE             
LIEU-DIT   CHASTANG DE REBIERE        
LIEU-DIT   LE CHEYRAL                 
LIEU-DIT   LE CIMETIERE               
LIEU-DIT   AU CLOS MERLE              
LIEU-DIT   LE COLOMBIER               
LIEU-DIT   LA COMBE                   
LIEU-DIT   LA COMBELLE                
